first_name,last_name,birthday,age,state,address,City,phone,email,car_1,gpa,year,class_of,online_signiture
Carol,Davis,9/29/1996,23,Illinois,1674 Carolyns Circle,"Burr Ridge, Illinois(IL), 60527",312-295-1941,curt1995@gmail.com,6ZUA618,2.85,1,2022,Don't aim for success if you want it just do what you love and believe in
Bruno,Horan,6/11/1995,24,California,1561 Still Street,"San Diego, California(CA), 92111",858-449-3324,guadalupe1974@yahoo.com,982KRK,3.47,2,2021,"In any investment, you expect to have fun and make money."
William,Moody,2/27/1997,22,Illinois,541 Jade wood Drive,"Arlington Heights, Illinois(IL), 60004",979-614-4038,roosevelt.fee@hotmail.com,PS9-S917,2.78,2,2021,It's not my fault that people don't appreciate the art of unpunctuality.
Robin,Steel,8/3/1989,57,Texas,1674 Caroly  ns Circle,"Josephine, Texas(TX), 75173",214-694-7864,lloyd2009@hotmail.com,na,4.33,4,2019,The press is the hired agent of a monied system
Michelle,Roberts,7/17/1995,24,Oregon,1372 Gateway   Road,"Portland, Oregon(OR), 97217

",503-283-2255,ben1972@gmail.com,6XNK620,3.75,,2019,I am desperate for change - now - not in 8 years or 12 years
June,Sneed,3/27/2000,19,Arizona,2411 Clarksburg Park Road,"Phoenix, Arizona(AZ), 85003",256-286-5628,kathlyn_runolf@yahoo.com,n/a,3.6,Jr,2021,Civilization is the progress toward a society of privacy. The savage's whole existence is public
Curtis,Campbell,3/15/1991,28,Idahol,2760 Science Center Drive,"Pocatello, Idaho(ID), 83201",979-614-4038,justen_schust@yahoo.com,PS9-S917,2.32,3,2020,I have an incredible amount of basketball knowledge
Dorothy,Schott,1/2/1997,21,California,2742 Sunny Day Drive,"Santa Ana, California(CA), 92770",501-281-4074,megane_purd1@hotmail.com,NA,3.93,,2020,A lawyer with his briefcase can steal more than a hundred men with guns.
Mae,Skinner,3/16/1995,24,Pennsylvania,,"Newark, Pennsylvania(PA), 19714",501-334-8502,enrique.berni@gmail.com,WCE-2823,3.85,3,2020,When humor can be made to alternate with melancholy
David,Victoria,8/2/1996,23,Maine,3327 Chipmunk Lane,"Harpswell, Maine(ME), 04079",207-570-1895,carolina1977@hotmail.com,VDS-5639,1.74,S,2021,The difference between a beautifully made failure and a beautifully made hit is who you've got playing the leads.
